filter,trades,trades_pct,wins,win_rate,avg_r,total_r,wr_improvement,avg_r_improvement,improvement_score,setup
Against pre-ORB trend,288,55.06692160611855,28,9.722222222222223,-0.30794270833333354,-88.68750000000006,-6.721372424049287,-0.5020447256610321,-50.876609808508135,10am 6R FULL ext
Entry after 11am,6,1.147227533460803,0,0.0,-1.0,-6.0,-16.44359464627151,-1.1941020173276986,-121.05456119739702,10am 6R FULL ext
Entry after 11am,6,1.147227533460803,2,33.33333333333333,2.3996098069901164,14.397658841940698,12.49203314212874,2.2570584208427733,226.9550453984902,10am 4R FULL std
ORB size 0.12-0.25%,89,17.01720841300191,22,24.719101123595504,0.5831683547971166,51.90198357694338,3.8778009323909153,0.4406169686497735,44.449476958216444,10am 4R FULL std
ORB size 0.10-0.30%,139,26.577437858508606,30,21.58273381294964,0.34630097845732144,48.13583600556768,0.7414336217450526,0.20374959230997836,20.44910259317234,10am 4R FULL std
Monday only,105,20.076481835564053,23,21.904761904761905,0.2680721848135087,28.147579405418412,1.0634617135573166,0.1255207986661656,12.658426037972292,10am 4R FULL std
ORB size 0.15-0.35%,58,11.089866156787762,8,13.793103448275861,0.25918010723473606,15.032446219614691,-7.048196742928727,0.11662872108739297,10.958052434446424,10am 4R FULL std
With pre-ORB trend,199,38.04971319311664,44,22.110552763819097,0.23311489158684778,46.38986342578271,1.2692525726145085,0.0905635054395047,9.183275801211922,10am 4R FULL std
Wednesday only,104,19.88527724665392,23,22.115384615384613,0.2194086546747665,22.818500086175717,1.2740844241800247,0.07685726852742342,7.813135295160344,10am 4R FULL std
Friday only,104,19.88527724665392,23,22.115384615384613,0.20910163103001173,21.746569627121218,1.2740844241800247,0.06655024488266864,6.782432930684867,10am 4R FULL std
Small ORB (<0.15%),458,87.5717017208413,101,22.05240174672489,0.1321224593472748,60.51208638105186,1.211101555520301,-0.010428926800068294,-0.9217825244547994,10am 4R FULL std
Entry before 11am,517,98.8527724665392,107,20.6963249516441,0.11635728455148885,60.156716113119735,-0.14497523956048752,-0.02619410159585424,-2.6339076835414725,10am 4R FULL std
Against pre-ORB trend,324,61.95028680688337,65,20.061728395061728,0.08692750471999296,28.164511529277718,-0.7795717961428608,-0.05562388142735013,-5.640345322349298,10am 4R FULL std
