family_id,instrument,orb_time,direction,rr,sl_mode,trades,wins,losses,win_rate,avg_r,total_r,max_drawdown,profit_factor,split1_trades,split1_avg_r,split2_trades,split2_avg_r,split3_trades,split3_avg_r,positive_splits,stability_flag
MGC_1800_UP_2.0R_FULL,MGC,1800,UP,2.0,FULL,489,168,320,34.355828220858896,0.032719836400818,16.0,25.0,1.05,169,-0.023668639053254437,162,0.1111111111111111,158,0.012658227848101266,2,STABLE
MGC_1100_DOWN_3.0R_HALF,MGC,1100,DOWN,3.0,HALF,459,118,341,25.70806100217865,0.02832244008714597,13.0,28.0,1.0381231671554252,160,0.0,141,-0.12056737588652482,158,0.189873417721519,1,UNSTABLE
MGC_0900_UP_4.0R_HALF,MGC,0900,UP,4.0,HALF,502,103,398,20.51792828685259,0.027888446215139442,14.0,78.0,1.035175879396985,173,-0.24855491329479767,164,0.1951219512195122,165,0.15151515151515152,2,STABLE
MGC_0900_UP_2.0R_HALF,MGC,0900,UP,2.0,HALF,502,171,331,34.06374501992032,0.021912350597609563,11.0,31.0,1.0332326283987916,173,-0.028901734104046242,164,0.006097560975609756,165,0.09090909090909091,2,STABLE
MGC_1100_DOWN_2.5R_HALF,MGC,1100,DOWN,2.5,HALF,459,134,325,29.193899782135073,0.02178649237472767,10.0,38.0,1.0307692307692307,160,0.071875,141,-0.20567375886524822,158,0.17405063291139242,2,STABLE
MGC_0900_UP_4.0R_FULL,MGC,0900,UP,4.0,FULL,502,100,390,19.9203187250996,0.0199203187250996,10.0,78.0,1.0256410256410255,173,-0.26011560693641617,164,0.15853658536585366,165,0.17575757575757575,2,STABLE
MGC_0900_UP_8.0R_HALF,MGC,0900,UP,8.0,HALF,502,56,439,11.155378486055776,0.017928286852589643,9.0,49.0,1.020501138952164,173,-0.10982658959537572,164,0.12804878048780488,165,0.04242424242424243,2,STABLE
MGC_1100_DOWN_4.0R_HALF,MGC,1100,DOWN,4.0,HALF,459,93,366,20.26143790849673,0.013071895424836602,6.0,41.0,1.0163934426229508,160,-0.03125,141,-0.18439716312056736,158,0.23417721518987342,1,UNSTABLE
MGC_2300_UP_2.0R_HALF,MGC,2300,UP,2.0,HALF,412,139,273,33.737864077669904,0.012135922330097087,5.0,37.0,1.0183150183150182,141,0.06382978723404255,133,-0.03007518796992481,138,0.0,1,UNSTABLE
MGC_2300_UP_2.5R_HALF,MGC,2300,UP,2.5,HALF,412,118,291,28.640776699029125,0.009708737864077669,4.0,38.5,1.013745704467354,141,0.04964539007092199,133,-0.045112781954887216,138,0.021739130434782608,2,STABLE
MGC_1100_DOWN_2.0R_HALF,MGC,1100,DOWN,2.0,HALF,459,154,305,33.551198257080614,0.006535947712418301,3.0,29.0,1.0098360655737706,160,-0.00625,141,-0.1276595744680851,158,0.13924050632911392,1,UNSTABLE
MGC_1800_UP_6.0R_FULL,MGC,1800,UP,6.0,FULL,489,68,406,13.905930470347649,0.00408997955010225,2.0,35.0,1.0049261083743843,169,-0.011834319526627219,162,0.10493827160493827,158,-0.08227848101265822,1,UNSTABLE
MGC_2300_UP_4.0R_HALF,MGC,2300,UP,4.0,HALF,412,81,326,19.66019417475728,-0.0048543689320388345,-2.0,60.0,0.9938650306748467,141,0.03546099290780142,133,-0.05263157894736842,138,0.0,1,UNSTABLE
MGC_1800_DOWN_2.0R_HALF,MGC,1800,DOWN,2.0,HALF,453,149,304,32.89183222958057,-0.013245033112582781,-6.0,29.0,0.9802631578947368,154,0.12987012987012986,148,-0.08783783783783784,151,-0.08609271523178808,1,UNSTABLE
MGC_2300_DOWN_4.0R_FULL,MGC,2300,DOWN,4.0,FULL,386,69,284,17.875647668393782,-0.02072538860103627,-8.0,62.0,0.971830985915493,141,-0.03546099290780142,126,-0.0873015873015873,119,0.06722689075630252,1,UNSTABLE
