orb_time,rr,sl_mode,mode,trades,win_rate,avg_r,total_r,profit_factor,max_dd_r,avg_minutes
1000,1.5,FULL,ISOLATION,83,0.4939759036144578,0.18379319892867935,15.254835511080387,1.3632103693114377,7.270642201834855,35.6144578313253
1000,1.5,FULL,CONTINUATION,83,0.46987951807228917,0.1746987951807229,14.5,1.3295454545454546,6.5,40.674698795180724
1000,2.0,HALF,ISOLATION,83,0.3614457831325301,0.06463811450180318,5.364963503649664,1.1012257264839558,13.635036496350336,18.16867469879518
1000,2.0,HALF,CONTINUATION,83,0.3614457831325301,0.08433734939759036,7.0,1.1320754716981132,12.0,18.216867469879517
1000,2.0,FULL,ISOLATION,83,0.42168674698795183,0.14633786342870614,12.146042664582609,1.2530425555121376,11.174368909909408,41.36144578313253
1000,2.0,FULL,CONTINUATION,83,0.37349397590361444,0.12048192771084337,10.0,1.1923076923076923,11.0,47.12048192771084
1000,3.0,HALF,ISOLATION,83,0.30120481927710846,0.14205416166919635,11.790495418543298,1.2032844037679877,13.209504581456702,24.216867469879517
1000,3.0,HALF,CONTINUATION,83,0.27710843373493976,0.10843373493975904,9.0,1.15,16.0,25.397590361445783
1000,3.0,FULL,ISOLATION,83,0.3855421686746988,0.1979524639832763,16.43005451061193,1.3221579315806258,10.244472935237212,51.25301204819277
1000,3.0,FULL,CONTINUATION,83,0.30120481927710846,0.20481927710843373,17.0,1.293103448275862,13.0,70.27710843373494
1100,1.0,HALF,ISOLATION,83,0.5060240963855421,0.007106703434255745,0.5898563850432268,1.0145857194960393,13.440677966101783,14.301204819277109
1100,1.0,HALF,CONTINUATION,83,0.5060240963855421,0.012048192771084338,1.0,1.024390243902439,14.0,14.662650602409638
1100,1.0,FULL,ISOLATION,83,0.4578313253012048,-0.1070324344580285,-8.883692060016365,0.7854573097120272,8.883692060016365,38.93975903614458
1100,1.0,FULL,CONTINUATION,83,0.4457831325301205,-0.10843373493975904,-9.0,0.8043478260869565,11.0,68.19277108433735
1100,1.5,HALF,ISOLATION,83,0.3614457831325301,-0.1437473058634936,-11.93102638666997,0.7724852757551627,12.940677966101784,23.46987951807229
1100,1.5,HALF,CONTINUATION,83,0.3373493975903614,-0.1566265060240964,-13.0,0.7636363636363637,13.5,28.59036144578313
1100,1.5,FULL,ISOLATION,83,0.3855421686746988,-0.15378641912782945,-12.764272787609844,0.7205494660254254,12.764272787609844,51.46987951807229
1100,1.5,FULL,CONTINUATION,83,0.3253012048192771,-0.18674698795180722,-15.5,0.7232142857142857,19.5,95.96385542168674
1100,2.0,HALF,ISOLATION,83,0.3132530120481928,-0.13219153349978252,-10.971897280481949,0.8020966250234074,11.0,28.072289156626507
1100,2.0,HALF,CONTINUATION,83,0.27710843373493976,-0.1686746987951807,-14.0,0.7666666666666667,14.0,37.2289156626506
1100,2.0,FULL,ISOLATION,83,0.37349397590361444,-0.10116867542574878,-8.397000060337149,0.8201015083812189,9.580152671755707,56.78313253012048
1100,2.0,FULL,CONTINUATION,83,0.30120481927710846,-0.0963855421686747,-8.0,0.8620689655172413,19.0,109.55421686746988
1100,3.0,HALF,ISOLATION,83,0.25301204819277107,-0.20646045999476847,-17.136218179565784,0.7139702905832506,18.62147951509518,36.12048192771084
1100,3.0,HALF,CONTINUATION,83,0.20481927710843373,-0.18072289156626506,-15.0,0.7727272727272727,21.0,52.325301204819276
1100,3.0,FULL,ISOLATION,83,0.3373493975903614,-0.15207349396798928,-12.62209999934311,0.7348164986632397,12.62209999934311,64.03614457831326
1100,3.0,FULL,CONTINUATION,83,0.18072289156626506,-0.27710843373493976,-23.0,0.6617647058823529,27.0,168.0843373493976
