orb_time,direction,asia_type,london_type,ny_type,total_trades,wins,losses,no_trades,win_rate,avg_r,total_r,worst_r,best_r
ORB_0900,UP,EXPANDED,SWEEP_LOW,EXPANSION,9,3,6,0,0.3333,-0.3333,-3.0,-1.0,1.0
ORB_0900,UP,EXPANDED,SWEEP_HIGH,SWEEP_HIGH,40,13,27,0,0.325,-0.35,-14.0,-1.0,1.0
ORB_0900,UP,EXPANDED,EXPANSION,SWEEP_LOW,7,2,5,0,0.2857,-0.4286,-3.0,-1.0,1.0
ORB_0900,UP,NO_DATA,SWEEP_HIGH,EXPANSION,7,2,5,0,0.2857,-0.4286,-3.0,-1.0,1.0
ORB_0900,UP,NO_DATA,CONSOLIDATION,SWEEP_LOW,5,1,4,0,0.2,-0.6,-3.0,-1.0,1.0
ORB_0900,UP,NO_DATA,SWEEP_LOW,SWEEP_LOW,6,1,5,0,0.1667,-0.6667,-4.0,-1.0,1.0
ORB_1000,DOWN,EXPANDED,CONSOLIDATION,SWEEP_HIGH,12,8,4,0,0.6667,0.3333,4.0,-1.0,1.0
ORB_1000,DOWN,NO_DATA,CONSOLIDATION,SWEEP_LOW,5,3,2,0,0.6,0.2,1.0,-1.0,1.0
ORB_1000,DOWN,EXPANDED,EXPANSION,SWEEP_LOW,9,5,4,0,0.5556,0.1111,1.0,-1.0,1.0
ORB_1000,DOWN,EXPANDED,CONSOLIDATION,SWEEP_LOW,9,5,4,0,0.5556,0.1111,1.0,-1.0,1.0
ORB_1000,DOWN,NO_DATA,SWEEP_HIGH,SWEEP_HIGH,17,9,8,0,0.5294,0.0588,1.0,-1.0,1.0
ORB_1000,DOWN,EXPANDED,SWEEP_HIGH,EXPANSION,24,12,12,0,0.5,0.0,0.0,-1.0,1.0
ORB_1000,DOWN,EXPANDED,CONSOLIDATION,EXPANSION,8,4,4,0,0.5,0.0,0.0,-1.0,1.0
ORB_1000,DOWN,NO_DATA,SWEEP_LOW,SWEEP_LOW,11,5,6,0,0.4545,-0.0909,-1.0,-1.0,1.0
ORB_1000,DOWN,EXPANDED,SWEEP_LOW,SWEEP_HIGH,33,15,18,0,0.4545,-0.0909,-3.0,-1.0,1.0
ORB_1000,DOWN,EXPANDED,SWEEP_LOW,SWEEP_LOW,18,8,10,0,0.4444,-0.1111,-2.0,-1.0,1.0
ORB_1000,DOWN,NO_DATA,CONSOLIDATION,SWEEP_HIGH,5,2,3,0,0.4,-0.2,-1.0,-1.0,1.0
ORB_1000,DOWN,EXPANDED,SWEEP_HIGH,CONSOLIDATION,10,4,6,0,0.4,-0.2,-2.0,-1.0,1.0
ORB_1000,DOWN,EXPANDED,SWEEP_LOW,EXPANSION,11,4,7,0,0.3636,-0.2727,-3.0,-1.0,1.0
ORB_1000,DOWN,EXPANDED,SWEEP_HIGH,SWEEP_HIGH,35,12,23,0,0.3429,-0.3143,-11.0,-1.0,1.0
ORB_1000,DOWN,EXPANDED,SWEEP_HIGH,SWEEP_LOW,21,7,14,0,0.3333,-0.3333,-7.0,-1.0,1.0
ORB_1000,DOWN,NO_DATA,SWEEP_HIGH,EXPANSION,7,2,5,0,0.2857,-0.4286,-3.0,-1.0,1.0
ORB_1000,DOWN,NO_DATA,SWEEP_HIGH,SWEEP_LOW,5,1,4,0,0.2,-0.6,-3.0,-1.0,1.0
ORB_1000,UP,NO_DATA,CONSOLIDATION,SWEEP_LOW,7,5,2,0,0.7143,0.4286,3.0,-1.0,1.0
ORB_1000,UP,EXPANDED,CONSOLIDATION,SWEEP_LOW,13,9,4,0,0.6923,0.3846,5.0,-1.0,1.0
ORB_1000,UP,EXPANDED,SWEEP_LOW,EXPANSION,6,4,2,0,0.6667,0.3333,2.0,-1.0,1.0
ORB_1000,UP,EXPANDED,CONSOLIDATION,SWEEP_HIGH,8,5,3,0,0.625,0.25,2.0,-1.0,1.0
ORB_1000,UP,NO_DATA,SWEEP_LOW,SWEEP_LOW,5,3,2,0,0.6,0.2,1.0,-1.0,1.0
ORB_1000,UP,EXPANDED,SWEEP_LOW,SWEEP_HIGH,22,12,10,0,0.5455,0.0909,2.0,-1.0,1.0
ORB_1000,UP,EXPANDED,SWEEP_HIGH,EXPANSION,17,9,8,0,0.5294,0.0588,1.0,-1.0,1.0
ORB_1000,UP,EXPANDED,SWEEP_HIGH,SWEEP_LOW,25,13,12,0,0.52,0.04,1.0,-1.0,1.0
ORB_1000,UP,EXPANDED,SWEEP_LOW,SWEEP_LOW,31,16,15,0,0.5161,0.0323,1.0,-1.0,1.0
ORB_1000,UP,EXPANDED,SWEEP_HIGH,SWEEP_HIGH,42,18,24,0,0.4286,-0.1429,-6.0,-1.0,1.0
ORB_1000,UP,NO_DATA,SWEEP_HIGH,SWEEP_HIGH,12,5,7,0,0.4167,-0.1667,-2.0,-1.0,1.0
ORB_1000,UP,EXPANDED,SWEEP_HIGH,CONSOLIDATION,5,2,3,0,0.4,-0.2,-1.0,-1.0,1.0
ORB_1000,UP,EXPANDED,SWEEP_LOW,CONSOLIDATION,5,2,3,0,0.4,-0.2,-1.0,-1.0,1.0
ORB_1000,UP,EXPANDED,CONSOLIDATION,EXPANSION,13,5,8,0,0.3846,-0.2308,-3.0,-1.0,1.0
ORB_1000,UP,EXPANDED,EXPANSION,SWEEP_HIGH,10,3,7,0,0.3,-0.4,-4.0,-1.0,1.0
ORB_1000,UP,EXPANDED,EXPANSION,SWEEP_LOW,5,1,4,0,0.2,-0.6,-3.0,-1.0,1.0
ORB_1100,DOWN,NO_DATA,SWEEP_LOW,SWEEP_LOW,8,6,2,0,0.75,0.5,4.0,-1.0,1.0
ORB_1100,DOWN,EXPANDED,SWEEP_LOW,SWEEP_LOW,31,19,12,0,0.6129,0.2258,7.0,-1.0,1.0
ORB_1100,DOWN,EXPANDED,CONSOLIDATION,SWEEP_HIGH,10,6,4,0,0.6,0.2,2.0,-1.0,1.0
ORB_1100,DOWN,EXPANDED,SWEEP_LOW,SWEEP_HIGH,27,15,12,0,0.5556,0.1111,3.0,-1.0,1.0
ORB_1100,DOWN,EXPANDED,SWEEP_HIGH,SWEEP_LOW,20,11,9,0,0.55,0.1,2.0,-1.0,1.0
ORB_1100,DOWN,EXPANDED,CONSOLIDATION,SWEEP_LOW,10,5,5,0,0.5,0.0,0.0,-1.0,1.0
ORB_1100,DOWN,EXPANDED,SWEEP_LOW,CONSOLIDATION,8,4,4,0,0.5,0.0,0.0,-1.0,1.0
